Year;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Temperatura ;lluvia;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;2.5;450;6;No;Si;No;No;No;Si;Si;No;13.42902249;-88.5109981;459;0;Si;Si;Si;No;Si;Si;28;48;0.12496;1.74
1;Hombre;0.5;165;4.7;No;Si;No;No;No;No;Si;No;13.4943867;-88.404348;690;0;Si;Si;No;No;Si;Si;28;38;0.968;5.05
1;Hombre;1.2;1200;5.5;No;Si;No;No;No;No;Si;No;13.687212;-88.962839;618;0;Si;Si;Si;Si;No;Si;27;57;0.41184;2.61
1;Hombre;0.3;250;5;No;Si;No;No;No;No;No;No;13.285;-88.2326;163;0;Si;Si;No;No;Si;Si;21;125;0.572;3.3
1;Hombre;4.8;900;7;No;Si;No;No;No;No;No;No;13.5809892;-88.935497;547;0;No;Si;No;Si;Si;Si;22;70;0.242;2.9
1;Mujer;0.3;250;5;No;Si;No;No;No;No;Si;No;13.7832958;-88.949438;637;0;Si;Si;Si;Si;Si;Si;27;96;0.15488;1.12
1;Hombre;2.1;1300;5;No;Si;No;No;No;No;No;No;13.616475;-89.14967;809;0;Si;Si;Si;Si;Si;Si;27;11;0.27368;7.01
1;Hombre;1;510;6;Si;Si;No;No;No;No;No;No;13.715614;-89.45728;731;0;Si;No;Si;Si;Si;Si;23;75;0.18216;0.86416
1;Hombre;0.4;300;5;No;Si;No;No;No;No;No;No;13.2842;-88.2431;225;0;Si;Si;No;No;Si;Si;22;6;0.34936;1.97
1;Hombre;0.2;150;4;No;Si;No;No;No;No;Si;No;13.5007183;-88.39713;629;0;Si;Si;No;No;Si;Si;22;129;0.8316;4.5
1;Hombre;0.12;125;7;No;Si;No;No;No;No;No;No;13.697574;-89.462228;645;0;Si;No;No;Si;Si;Si;24;29;0.13992;0.76384
1;Mujer;1.5;400;5;No;No;No;No;No;Si;No;No;13.8880791;-88.959215;379;0;Si;Si;Si;Si;Si;No;27;57;0.6116;0.8624
1;Mujer;2.5;400;6;No;No;No;No;Si;Si;No;No;13.505021;-88.32357;729;0;Si;Si;Si;Si;No;Si;26;65;0.45936;2.31
1;Hombre;1.5;80;6;No;Si;No;No;No;No;No;No;13.6048378;-88.92514;666;0;Si;Si;Si;No;Si;Si;27;145;0.22352;1.14
1;Hombre;0.35;200;6;No;Si;No;No;No;Si;No;No;13.8726285;-89.172373;443;100;Si;Si;Si;Si;Si;No;26;96;0.1496;0.35904
1;Hombre;3.5;1433;8;No;Si;No;No;No;No;No;No;13.8999875;-89.856238;887;0;Si;Si;Si;Si;Si;No;21;142;4.97904;23.21968
1;Hombre;4.19;5150;5.6;Si;No;No;Si;No;No;No;Si;13.3342009;-88.7724;9;38.83;Si;Si;Si;Si;Si;Si;21;104;1.22056;10.9
1;Mujer;0.7;300;3;No;Si;No;No;No;No;No;No;13.7978;-89.1142;584;0;Si;Si;Si;Si;Si;No;21;72;0.4532;0.8932
1;Hombre;1.85;2025;4;No;No;No;No;Si;Si;No;No;13.9016608;-89.542454;997;100;Si;No;Si;Si;Si;No;21;55;4.5056;12.8744
1;Mujer;0.5;100;12;No;Si;No;No;No;Si;Si;No;13.4272337;-88.506738;444;0;Si;No;Si;No;Si;Si;27;118;0.08272;1.01
1;Hombre;1.5;1600;9;Si;No;No;No;No;No;No;No;13.730753;-89.667272;380;0;Si;Si;Si;No;No;Si;26;77;2.66112;11.37
1;Hombre;5.24;5437;5.8;Si;No;No;Si;No;No;No;Si;13.3528614;-88.735018;16;18.39;Si;Si;Si;Si;Si;No;20;50;1.81016;21.1
1;Hombre;0.35;250;6;No;No;No;No;Si;Si;No;No;13.8970446;-88.964616;346;0;Si;Si;Si;Si;Si;No;30;80;0.8492;1.4564
1;Mujer;0.35;150;11;No;Si;No;No;No;No;No;No;13.618069;-89.232421;790;0;Si;Si;Si;Si;Si;No;26;134;0.616;1.122
1;Mujer;1.4;1500;6;No;Si;No;No;No;No;Si;No;13.6231117;-88.860226;847;0;No;Si;Si;Si;No;No;27;103;0.87296;5.41
1;Hombre;0.26;250;6;No;No;No;No;No;Si;No;No;13.796305;-88.1678;734;0;Si;Si;Si;No;Si;Si;20;83;0.5544;1.666
1;Hombre;0.35;200;5;No;Si;No;No;No;No;No;No;13.527995;-88.448691;569;0;Si;Si;No;Si;Si;Si;21;82;0.0352;0.165
1;Hombre;0.5;125;4;No;Si;No;No;No;No;Si;No;13.4754002;-88.391273;647;0;No;No;No;No;Si;Si;26;96;0.63712;3.45
1;Hombre;0.7;400;9;No;No;No;No;Si;Si;No;No;13.747739;-88.19778;847;0;Si;Si;Si;Si;Si;Si;23;10;0.10208;0.33
1;Hombre;2;600;5;No;Si;No;No;No;No;No;No;13.468018;-88.879255;71;0;Si;Si;Si;Si;Si;Si;29;150;1.41856;8.55
1;Hombre;0.15;50;4;No;Si;No;No;No;Si;No;No;13.5321235;-88.429579;537;0;Si;Si;No;Si;Si;Si;20;145;0.5808;3.2
1;Mujer;0.35;200;5;No;Si;No;No;No;No;No;No;13.527761;-88.448281;573;0;Si;Si;No;Si;Si;Si;21;97;0.18568;1.0252
1;Hombre;0.4;400;8;Si;No;No;Si;No;No;No;Si;13.280707;-88.749472;10;0;Si;Si;Si;Si;No;Si;20;49;0.63888;3.35
1;Hombre;2.5;1500;5;No;Si;No;No;No;No;No;No;13.5196594;-88.821027;267;0;Si;Si;Si;Si;Si;Si;20;34;1.24256;10.85
1;Hombre;0.72;800;5;No;No;No;No;Si;Si;No;No;13.34170833;-88.61497333;28;0;Si;Si;Si;No;No;Si;23;25;0.87296;4.49
1;Hombre;4;3950;5.7;Si;No;No;Si;No;No;No;Si;13.348937;-88.735581;10;15.82;Si;Si;Si;Si;Si;No;27;50;1.1616;14.25
1;Mujer;0.35;400;5;No;Si;No;No;No;No;Si;No;13.7071155;-88.933568;787;0;Si;Si;No;Si;No;Si;27;117;0.18744;1.32
1;Hombre;1.75;1700;4;No;Si;No;No;No;Si;No;No;13.931565;-89.568684;857;0;Si;Si;Si;Si;Si;No;28;42;3.2516;9.29808
1;Hombre;2.5;2350;26.4;No;Si;No;No;No;No;No;No;13.61681;-88.91105333;716;0;Si;Si;Si;Si;Si;Si;24;37;0.45672;17.23
1;Hombre;0.7;300;6;No;Si;No;No;No;No;No;No;13.510797;-88.435995;685;0;Si;Si;Si;Si;Si;Si;23;56;0.06072;1.06
1;Hombre;0.09;100;5;No;Si;No;No;No;No;No;No;13.3888924;-88.416754;209;0;Si;Si;No;No;Si;Si;21;145;0.5544;3.15
1;Hombre;1;400;5.3;No;Si;No;No;No;Si;Si;No;13.349751;-88.47627;135;37.5;No;Si;Si;No;Si;Si;28;15;0.13024;1.7
1;Hombre;2.5;2600;10;Si;Si;No;No;No;Si;No;No;13.7047462;-89.714227;212;100;Si;Si;Si;Si;Si;No;20;49;4.99488;26.80832
1;Mujer;1.2;1000;32;No;Si;No;No;No;No;Si;No;13.62882;-88.873072;678;0;Si;Si;Si;No;Si;Si;29;20;1.32352;8.38464
