Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;2.1;1300.0;5.0;No;Si;No;No;No;No;No;No;13.616475;-89.14967;809;0.00;Si;Si;Si;Si;Si;Si;0.27368;7.01
1;Hombre;1;510.0;6.0;Si;Si;No;No;No;No;No;No;13.715614;-89.45728;731;0.00;Si;No;Si;Si;Si;Si;0.18216;0.86416
1;Hombre;0.4;300.0;5.0;No;Si;No;No;No;No;No;No;13.2842;-88.2431;225;0.00;Si;Si;No;No;Si;Si;0.34936;1.97
1;Hombre;0.2;150.0;4.0;No;Si;No;No;No;No;Si;No;13.5007183;-88.39713;629;0.00;Si;Si;No;No;Si;Si;0.8316;4.5
1;Hombre;0.12;125.0;7.0;No;Si;No;No;No;No;No;No;13.697574;-89.462228;645;0.00;Si;No;No;Si;Si;Si;0.13992;0.76384
1;Mujer;1.5;400.0;5.0;No;No;No;No;No;Si;No;No;13.8880791;-88.959215;379;0.00;Si;Si;Si;Si;Si;No;0.6116;0.8624
1;Mujer;2.5;400.0;6.0;No;No;No;No;Si;Si;No;No;13.505021;-88.32357;729;0.00;Si;Si;Si;Si;No;Si;0.45936;2.31
1;Hombre;1.5;80.0;6.0;No;Si;No;No;No;No;No;No;13.6048378;-88.92514;666;0.00;Si;Si;Si;No;Si;Si;0.22352;1.14
1;Hombre;0.35;200.0;6.0;No;Si;No;No;No;Si;No;No;13.8726285;-89.172373;443;100.00;Si;Si;Si;Si;Si;No;0.1496;0.35904
1;Hombre;3.5;1433.0;8.0;No;Si;No;No;No;No;No;No;13.8999875;-89.856238;887;0.00;Si;Si;Si;Si;Si;No;4.97904;23.21968
1;Hombre;4.19;5150.0;5.6;Si;No;No;Si;No;No;No;Si;13.3342009;-88.7724;9;38.83;Si;Si;Si;Si;Si;Si;1.22056;10.9
1;Mujer;0.7;300.0;3.0;No;Si;No;No;No;No;No;No;13.7978;-89.1142;584;0.00;Si;Si;Si;Si;Si;No;0.4532;0.8932
1;Hombre;1.85;2025.0;4.0;No;No;No;No;Si;Si;No;No;13.9016608;-89.542454;997;100.00;Si;No;Si;Si;Si;No;4.5056;12.8744
1;Mujer;0.5;100.0;12.0;No;Si;No;No;No;Si;Si;No;13.4272337;-88.506738;444;0.00;Si;No;Si;No;Si;Si;0.08272;1.01
1;Hombre;1.5;1600.0;9.0;Si;No;No;No;No;No;No;No;13.730753;-89.667272;380;0.00;Si;Si;Si;No;No;Si;2.66112;11.37
1;Hombre;5.24;5437.0;5.8;Si;No;No;Si;No;No;No;Si;13.3528614;-88.735018;16;18.39;Si;Si;Si;Si;Si;No;1.81016;21.1
1;Hombre;0.35;250.0;6.0;No;No;No;No;Si;Si;No;No;13.8970446;-88.964616;346;0.00;Si;Si;Si;Si;Si;No;0.8492;1.4564
1;Mujer;0.35;150.0;11.0;No;Si;No;No;No;No;No;No;13.618069;-89.232421;790;0.00;Si;Si;Si;Si;Si;No;0.616;1.122
1;Mujer;1.4;1500.0;6.0;No;Si;No;No;No;No;Si;No;13.6231117;-88.860226;847;0.00;No;Si;Si;Si;No;No;0.87296;5.41
1;Hombre;0.26;250.0;6.0;No;No;No;No;No;Si;No;No;13.796305;-88.1678;734;0.00;Si;Si;Si;No;Si;Si;0.5544;1.666
1;Hombre;0.35;200.0;5.0;No;Si;No;No;No;No;No;No;13.527995;-88.448691;569;0.00;Si;Si;No;Si;Si;Si;0.0352;0.165
1;Hombre;0.5;125.0;4.0;No;Si;No;No;No;No;Si;No;13.4754002;-88.391273;647;0.00;No;No;No;No;Si;Si;0.63712;3.45
1;Hombre;0.7;400.0;9.0;No;No;No;No;Si;Si;No;No;13.747739;-88.19778;847;0.00;Si;Si;Si;Si;Si;Si;0.10208;0.33
1;Hombre;2;600.0;5.0;No;Si;No;No;No;No;No;No;13.468018;-88.879255;71;0.00;Si;Si;Si;Si;Si;Si;1.41856;8.55
